Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,StatScore,TempScore,FinalScore,FraudFlag
19557289,1711929611,2024-04-01 00:00:11,0.0,0,0.0,0.0029151199998878,8.98843595436094,3505.52,0.0,0.0,0.0029151209998878,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2193207226046868,-0.7720706989145539,-0.7729268195142854,0.0007160685090513,2.291236738923937e-05,0.0,0.0003649079647424218,0
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0042864306335998,13.2167139686891,3505.52,0.0,0.0,0.0042864316335998,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2182748468300782,0.2684558494878098,0.2838503468984646,0.0329839181416491,0.10713237216211279,0.0,0.048631670719458384,0
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0008173366097058,2.52016307039782,3505.52,0.0,0.0,0.0008173376097058,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.220920667047784,-0.7720706989145539,-0.7729268195142854,0.016565270177701,4.190136414713073e-06,0.0,0.008283892129774914,0
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0026826953040339,8.27178123929767,3505.52,0.0,0.0,0.0026826963040339,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.219497989048072,0.2684558494878098,0.2838503468984646,0.0303411232866592,0.10711805919567273,0.0,0.04730597940203142,0
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0034214111688283,10.5495263199221,3505.52,0.0,0.0,0.0034214121688283,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2189345827648318,-0.7720706989145539,-0.7729268195142854,0.0018335095803424,2.7430898830392873e-05,0.0,0.0009249840598203179,0
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.0036306488057184,11.1946864157333,3505.52,0.0,0.0,0.0036306498057184,36.0,3.0,-0.2188538498405188,-0.2188538498405188,-0.2187750007050271,2.3495089462925374,2.397404679723965,0.2959662226519618,0.3213209617909011,0.0,0.24437939986325125,0
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.005118615403265,15.7826596260266,3505.52,0.0,0.0,0.005118616403265,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2176401533702638,-0.7720706989145539,-0.7729268195142854,0.0164724953227184,4.257805360184485e-05,0.0,0.008249021077439753,0
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.000987119554866,3.04366917950276,3505.52,0.0,0.0,0.000987120554866,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2207911764240556,-0.7720706989145539,-0.7729268195142854,0.0139718707136025,5.705409883700172e-06,0.0,0.00698764697976636,0
19557296,1711929695,2024-04-01 00:01:35,0.5,0,1541.69227248049,0.0033919954126342,10.4588262318951,3505.52,0.5,0.5,0.5033919964126342,24.0,2.0,0.1631097571193371,0.1631097571193371,0.1623846524415874,1.3089823978901738,1.3406275133112149,0.4369287950352486,0.22314637913016713,0.0,0.28540831125667443,0
19557298,1711929719,2024-04-01 00:01:59,0.0,0,0.0,0.002688648593837,8.29013752106824,3505.52,0.0,0.0,0.002688649593837,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.2194934485731196,1.3089823978901738,1.3406275133112149,0.1333043815715764,0.21421533349227714,0.0,0.13091679083347135,0
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033030494400211,10.1845715946031,3505.52,0.0,0.0,0.0033030504400211,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2190248552835135,0.2684558494878098,0.2838503468984646,0.0299815017898721,0.10712359571268126,0.0,0.04712782960874043,0
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033599430589657,10.359996499964,3505.52,0.0,0.0,0.0033599440589657,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2189814634681792,-0.7720706989145539,-0.7729268195142854,0.0018335095803424,2.6882310184014417e-05,0.0,0.0009248194832264043,0
19557301,1711929755,2024-04-01 00:02:35,0.0,0,0.0,0.0006360108396713,1.96106599347027,3505.52,0.0,0.0,0.0006360118396713,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.2210589611917432,1.3089823978901738,1.3406275133112149,0.1534171357864727,0.2141970141756497,0.0,0.14096767214593126,0
19557302,1711929767,2024-04-01 00:02:47,0.195780553916631,0,603.66673415044,0.0025968435,8.00706711358238,3505.52,0.195780553916631,0.195780553916631,0.198377398416631,12.0,1.0,-0.0692917567473289,-0.0692917567473289,-0.0702448999760661,0.2684558494878098,0.2838503468984646,0.2207684137469403,0.11061188520196749,0.0,0.1435677724340604,0
19557302,1711929767,2024-04-01 00:02:47,0.0,0,0.0,0.0004597515275135,1.41759075445734,3505.52,0.0,0.0,0.0004597525275135,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2211933912326859,-0.7720706989145539,-0.7729268195142854,0.0230343283602917,9.987723619791143e-07,0.0,0.011517463811854443,0
19557302,1711929767,2024-04-01 00:02:47,0.0,0,0.0,0.0019989643952269,6.16357592217013,3505.52,0.0,0.0,0.0019989653952269,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2200194592214175,-0.7720706989145539,-0.7729268195142854,0.0054138502446994,1.473589077142229e-05,0.0,0.0027113458895811266,0
19557302,1711929767,2024-04-01 00:02:47,1.0,0,3083.38454496098,0.0520350281587617,160.444001621335,3505.52,1.0,1.0,1.0520350291587617,0.0,0.0,0.545073364079193,0.545073364079193,0.5808255532487946,-0.7720706989145539,-0.7729268195142854,0.3880951846445337,0.018310833033841914,0.0,0.1995408422324194,0
19557304,1711929791,2024-04-01 00:03:11,0.0,0,0.0,0.0022809181564881,7.0329477920363,3505.52,0.0,0.0,0.0022809191564881,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.2198044177849892,1.3089823978901738,1.3406275133112149,0.1343006623536222,0.21421169459254177,0.0,0.13141383955457364,0
19557309,1711929851,2024-04-01 00:04:11,0.0,0,0.0,0.0020451833461076,6.3060867209998,3505.52,0.0,0.0,0.0020451843461076,60.0,5.0,-0.2188538498405188,-0.2188538498405188,-0.219984208797578,4.430562043097265,4.510959012549465,0.6415300752887059,0.5355012542085626,0.0,0.4814154139069217,0
19557311,1711929875,2024-04-01 00:04:35,0.0,0,0.0,0.002046161396673,6.30910242699747,3505.52,0.0,0.0,0.002046162396673,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.2199834628547059,1.3089823978901738,1.3406275133112149,0.1352149832282082,0.21420959944282297,0.05263157885017849,0.1423966872169867,0
19557311,1711929875,2024-04-01 00:04:35,0.0,0,0.0,0.0021939425364476,6.76476850941514,3505.52,0.0,0.0,0.0021939435364475,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2198707526414,-0.7720706989145539,-0.7729268195142854,0.0030800877547901,1.6476025530807136e-05,0.05263157885017849,0.01207130245508999,0
19557312,1711929887,2024-04-01 00:04:47,0.254,0,783.179674420089,0.0021223557024766,6.54403877192621,3505.52,0.254,0.254,0.2561223567024766,12.0,1.0,-0.024816337504912,-0.024816337504912,-0.0262037823093361,0.2684558494878098,0.2838503468984646,0.2407231364428488,0.11164684065713268,0.08449586365864689,0.1707547931502936,0
19557314,1711929911,2024-04-01 00:05:11,0.0,0,0.0,0.0038617384737261,11.9072247265684,3505.52,0.0,0.0,0.0038617394737261,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.2185987524651391,1.3089823978901738,1.3406275133112149,0.1430311210782643,0.21422580304780323,0.052631578931042394,0.14630961723968158,0
19557315,1711929923,2024-04-01 00:05:23,0.0,0,0.0,0.0058734048974202,18.1099658870037,3505.52,0.0,0.0,0.0058734058974202,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2170644879976931,0.2684558494878098,0.2838503468984646,0.0482699138041077,0.10714653553992239,0.052631578931042394,0.06680523335023905,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0020585416992861,6.34727566073657,3505.52,0.0,0.0,0.0020585426992861,48.0,4.0,-0.2188538498405188,-0.2188538498405188,-0.2199740206041559,3.3900354946949016,3.454181846136715,0.5186033937206834,0.4284041522638999,0.052631578931042394,0.39834925832572016,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.000597716259061,1.84298907546064,3505.52,0.0,0.0,0.000597717259061,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2210881678303957,-0.7720706989145539,-0.7729268195142854,0.018302666053808,2.230075642603675e-06,0.052631578931042394,0.01967831783580526,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0004374980809374,1.3489748212125,3505.52,0.0,0.0,0.0004374990809374,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2212103635656521,-0.7720706989145539,-0.7729268195142854,0.0230343283602917,8.001655045090114e-07,0.052631578931042394,0.022043720016005682,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0004377196550477,1.3496580194,3505.52,0.0,0.0,0.0004377206550477,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2212101945747695,-0.7720706989145539,-0.7729268195142854,0.0230343283602917,8.021430021336122e-07,0.052631578931042394,0.02204372060925497,0
19557320,1711929983,2024-04-01 00:06:23,3.0,0,9250.15363488294,0.0008341975627975,2.57215187257412,3505.52,3.0,3.0,3.000834198562797,12.0,1.0,2.072927791918617,2.072927791918617,2.067142213201892,0.2684558494878098,0.2838503468984646,0.6616513283278757,0.16065017236382387,0.6570426880240228,0.5104292534778896,1
19557320,1711929983,2024-04-01 00:06:23,0.0,0,0.0,0.0020363275079134,6.27878076637936,3505.52,0.0,0.0,0.0020363285079133,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2199909629978325,-0.7720706989145539,-0.7729268195142854,0.0054138502446994,1.5069347899987574e-05,0.05263157923435612,0.013237761773590921,0
19557321,1711929995,2024-04-01 00:06:35,0.0,0,0.0,0.0027026711063096,8.33337431930765,3505.52,0.0,0.0,0.0027026721063095,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2194827538364686,0.2684558494878098,0.2838503468984646,0.0303411232866592,0.10711823747508226,0.05263157923435612,0.057832348732725504,0
19557321,1711929995,2024-04-01 00:06:35,2.855,0,8803.0628758636,0.0022431195287532,6.91640008745783,3505.52,2.855,2.855,2.857243120528753,0.0,0.0,1.9621583459002585,1.9621583459002585,1.95762769018006,-0.7720706989145539,-0.7729268195142854,0.666251852907038,0.05097734265641726,0.35877888774733513,0.42017490679991126,0
19557322,1711930007,2024-04-01 00:06:47,0.0,0,0.0,0.0004376556980829,1.34946081548292,3505.52,0.0,0.0,0.0004376566980829,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2212102433536811,0.2684558494878098,0.2838503468984646,0.0545433641692802,0.10709802273707253,0.05263157932681247,0.06992740477112436,0
19557322,1711930007,2024-04-01 00:06:47,0.0,0,0.0,0.0004376556980829,1.34946081548292,3505.52,0.0,0.0,0.0004376566980829,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2212102433536811,-0.7720706989145539,-0.7729268195142854,0.0230343283602917,8.015722010332605e-07,0.05263157932284394,0.022043720516374946,0
19557324,1711930031,2024-04-01 00:07:11,0.0,0,0.0,0.0024568858221531,7.5755237727608,3505.52,0.0,0.0,0.0024568868221531,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.2196702101779678,1.3089823978901738,1.3406275133112149,0.1329772116552915,0.21421326506320906,0.05263157932284394,0.14127890121117725,0
19557326,1711930055,2024-04-01 00:07:35,0.0,0,0.0,0.0005058503408319,1.55973112298447,3505.52,0.0,0.0,0.0005058513408319,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.2211582324357637,1.3089823978901738,1.3406275133112149,0.1551092011987856,0.2141958525233388,0.05263157932284394,0.15233967222096323,0
19557326,1711930055,2024-04-01 00:07:35,0.0,0,0.0,0.0020846377033337,6.4277396763021,3505.52,0.0,0.0,0.0020846387033337,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2199541176166223,-0.7720706989145539,-0.7729268195142854,0.004268463911495,1.55005052069423e-05,0.05263157929860588,0.01266519796703076,0
19557327,1711930067,2024-04-01 00:07:47,0.0,0,0.0,0.0031472267858047,9.70411043083748,3505.52,0.0,0.0,0.0031472277858047,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2191436986259144,0.2684558494878098,0.2838503468984646,0.0299815017898721,0.10712220503157617,0.05263157929860588,0.05765372826413008,0
19557327,1711930067,2024-04-01 00:07:47,0.0,0,0.0,0.0061040244580438,18.8210546759963,3505.52,0.0,0.0,0.0061040254580438,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.216888598300875,-0.7720706989145539,-0.7729268195142854,0.019554067447946,5.137260122497086e-05,0.05263157929860588,0.020318761364061667,0
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0029572355101244,9.11829426772763,3505.52,0.0,0.0,0.0029572365101244,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2192886018066642,0.2684558494878098,0.2838503468984646,0.0302915271800485,0.10712050940343693,0.05263157929860588,0.057808232270776506,0
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0019282478570653,5.9455296413294,3505.52,0.0,0.0,0.0019282488570652,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2200733935469519,-0.7720706989145539,-0.7729268195142854,0.0084691062138175,1.4104762044129153e-05,0.05263157929860588,0.014765100395243168,0
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0018125273135813,5.58871870601641,3505.52,0.0,0.0,0.0018125283135813,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2201616516775892,-0.7720706989145539,-0.7729268195142854,0.0093018758512169,1.307198299089462e-05,0.05263157929113085,0.015181175378731891,0
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.0038920408468824,12.000658595634,3505.52,0.0,0.0,0.0038920418468824,36.0,3.0,-0.2188538498405188,-0.2188538498405188,-0.2185756413499634,2.3495089462925374,2.397404679723965,0.3010354365611294,0.321323294654338,0.05263157929113085,0.25744102253509227,0
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.002762461,8.51772955345745,3505.52,0.0,0.0,0.002762462,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.219437153080637,-0.7720706989145539,-0.7729268195142854,0.0007160685090513,2.1549921166423386e-05,0.05263157929113085,0.010890815089101748,0
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.0036959716550492,11.3961018797926,3505.52,0.0,0.0,0.0036959726550492,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2187251800561064,-0.7720706989145539,-0.7729268195142854,0.0020914486480727,2.9881287590054074e-05,0.05263157929113085,0.011581004568539539,0
19557332,1711930127,2024-04-01 00:08:47,0.0,0,0.0,0.0020001522623159,6.16723857319375,3505.52,0.0,0.0,0.0020001532623159,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2200185532549783,0.2684558494878098,0.2838503468984646,0.0324368193111156,0.10711196765708161,0.05263157929113085,0.05887831581090845,0
19557336,1711930175,2024-04-01 00:09:35,0.0,0,0.0,0.0037934227728565,11.6965811503288,3505.52,0.0,0.0,0.0037934237728565,48.0,4.0,-0.2188538498405188,-0.2188538498405188,-0.2186508557120682,3.3900354946949016,3.454181846136715,0.516763359743835,0.42841963567573577,0.05263157929113085,0.39743388643286437,0
19557336,1711930175,2024-04-01 00:09:35,0.0,0,0.0,0.0028915236498662,8.91567933338671,3505.52,0.0,0.0,0.0028915246498662,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2193387191477385,-0.7720706989145539,-0.7729268195142854,0.0007160685090513,2.2701775429493784e-05,0.05263157929113085,0.01089116064538067,0
19557337,1711930187,2024-04-01 00:09:47,0.0,0,0.0,0.004279688,13.195923836455,3505.52,0.0,0.0,0.004279689,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2182799893243941,0.2684558494878098,0.2838503468984646,0.0329839181416491,0.10713231198566929,0.052631579102216636,0.05915796848696866,0
19557337,1711930187,2024-04-01 00:09:47,0.0,0,0.0,0.0032307588742179,9.96167198125927,3505.52,0.0,0.0,0.0032307598742179,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2190799900937072,-0.7720706989145539,-0.7729268195142854,0.0007668360426518,2.572937125026952e-05,0.052631579102216636,0.010917452653144309,0
19557338,1711930199,2024-04-01 00:09:59,0.7265547869396715,0,2240.2478011172,0.0048416468719914,14.9286591372572,3505.52,0.7265547869396715,0.7265547869396715,0.7313964348116628,12.0,1.0,0.3361811243063342,0.3361811243063342,0.3362798391063894,0.2684558494878098,0.2838503468984646,0.3582288310620931,0.12010599378934823,0.16090543516488703,0.24732730070082842,0
19557339,1711930211,2024-04-01 00:10:11,0.0,0,0.0,0.0052574309402009,16.2106813072153,3505.52,0.0,0.0,0.0052574319402009,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2175342810728781,0.2684558494878098,0.2838503468984646,0.0450840087805375,0.10714103811499505,0.05263157802211561,0.0652106314291904,0
19557340,1711930223,2024-04-01 00:10:23,0.1,0,308.338454496098,0.0035780526305385,11.0325121820595,3505.52,0.1,0.1,0.1035780536305385,12.0,1.0,-0.1424611284485476,-0.1424611284485476,-0.1425467809088748,0.2684558494878098,0.2838503468984646,0.2124048301181121,0.10891100373855545,0.07472012075595656,0.15381974033181398,0
19557341,1711930235,2024-04-01 00:10:35,1.0,0,3083.38454496098,0.0089578990450144,27.6206474707181,3505.52,1.0,1.0,1.0089579000450144,12.0,1.0,0.545073364079193,0.545073364079193,0.5479713445289227,0.2684558494878098,0.2838503468984646,0.3677951014943818,0.12502360079672653,0.5236618810218281,0.3261370071905745,0
19557342,1711930247,2024-04-01 00:10:47,0.0,0,0.0,0.0030920003339872,9.5338260428304,3505.52,0.0,0.0,0.0030920013339872,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2191858189206554,0.2684558494878098,0.2838503468984646,0.0299815017898721,0.10712171214828248,0.05263157889462076,0.057653580318344944,0
19557343,1711930259,2024-04-01 00:10:59,0.5,0,1541.69227248049,0.0035101371841004,10.8231027441481,3505.52,0.5,0.5,0.5035101381841004,12.0,1.0,0.1631097571193371,0.1631097571193371,0.1624747572024696,0.2684558494878098,0.2838503468984646,0.2827069453115436,0.11605021235324792,0.17358952402162922,0.21088644116607203,0
19557344,1711930271,2024-04-01 00:11:11,0.0,0,0.0,0.0031820604024403,9.81151586601688,3505.52,0.0,0.0,0.0031820614024402,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2191171316068265,0.2684558494878098,0.2838503468984646,0.0299815017898721,0.10712251591353823,0.05263157901847201,0.05765382147269193,0
19557345,1711930283,2024-04-01 00:11:23,0.0,0,0.0,0.0019365597407085,5.97115837489442,3505.52,0.0,0.0,0.0019365607407085,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2200670542117713,0.2684558494878098,0.2838503468984646,0.0324368193111156,0.10711140010855236,0.05263157901847201,0.058878145491817906,0
19557345,1711930283,2024-04-01 00:11:23,0.0,0,0.0,0.00057081324503,1.76003673778458,3505.52,0.0,0.0,0.00057081424503,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.221108686310999,-0.7720706989145539,-0.7729268195142854,0.0199150125283943,1.9899724722970376e-06,0.05263157901847201,0.020484419059633243,0
19557349,1711930331,2024-04-01 00:12:11,0.0,0,0.0,0.0005856328501232,1.80573127909145,3505.52,0.0,0.0,0.0005856338501232,48.0,4.0,-0.2188538498405188,-0.2188538498405188,-0.2210973836450857,3.3900354946949016,3.454181846136715,0.5342619354186434,0.42839100689350196,0.05263157901847201,0.4061745855810667,0
19557349,1711930331,2024-04-01 00:12:11,1.03,0,3175.88608130981,0.0022020526491632,6.7897751056203,3505.52,1.03,1.03,1.0322020536491634,0.0,0.0,0.5679911804967844,0.5679911804967844,0.5656992732404895,-0.7720706989145539,-0.7729268195142854,0.4029927135548046,0.018401571373045017,0.2703813312409446,0.2610930944375047,0
19557349,1711930331,2024-04-01 00:12:11,0.0,0,0.0,0.0020934177593644,6.45481196537134,3505.52,0.0,0.0,0.0020934187593644,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2199474212141614,-0.7720706989145539,-0.7729268195142854,0.004268463911495,1.557886517382229e-05,0.05263157915730945,0.012665221446761537,0
19557349,1711930331,2024-04-01 00:12:11,0.0,0,0.0,0.003066112,9.4540023539194,3505.52,0.0,0.0,0.003066113,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2192055635216937,-0.7720706989145539,-0.7729268195142854,0.0011837088934391,2.4259936025084586e-05,0.05263157915730945,0.011125448258988965,0
19557350,1711930343,2024-04-01 00:12:23,0.1958088654704899,0,603.754029558052,0.002138577,6.59405527000902,3505.52,0.1958088654704899,0.1958088654704899,0.1979474434704899,12.0,1.0,-0.0692701287808678,-0.0692701287808678,-0.0705728194505362,0.2684558494878098,0.2838503468984646,0.2207684137469403,0.11060830062769976,0.005390238490978874,0.14464474475997585,0
19557350,1711930343,2024-04-01 00:12:23,0.0,0,0.0,0.0081342058679508,25.0808846587706,3505.52,0.0,0.0,0.0081342068679508,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2153402127618999,-0.7720706989145539,-0.7729268195142854,0.0301590046506101,6.949150018010591e-05,0.05263157917459557,0.025626665610278196,0
19557351,1711930355,2024-04-01 00:12:35,0.0,0,0.0,0.0020783969083591,6.40849690552934,3505.52,0.0,0.0,0.0020783979083591,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2199588773669792,0.2684558494878098,0.2838503468984646,0.0320993222175032,0.10711266597242848,0.05263157917459557,0.05870977673539926,0
19557352,1711930367,2024-04-01 00:12:47,0.0,0,0.0,0.0015123402464601,4.66312654265768,3505.52,0.0,0.0,0.00151234124646,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2203905993526342,0.2684558494878098,0.2838503468984646,0.0341059797976888,0.10710761404780254,0.05263157917459557,0.05971158994810428,0
19557353,1711930379,2024-04-01 00:12:59,0.0,0,0.0,0.0038140229565577,11.7600994383765,3505.52,0.0,0.0,0.0038140239565577,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2186351442951537,0.2684558494878098,0.2838503468984646,0.0322661332117292,0.10712815603299043,0.05263157917459557,0.05879782925068085,0
